1657,494,663
1910,541,769
1901,536,765
1934,554,780
1801,477,724
1887,527,760
1895,532,763
1816,486,730
1930,552,778
1857,509,748
1870,517,753
1925,550,775
1928,551,777
1864,514,750
1972,576,796
1921,547,774
1889,528,761
1935,555,780
2027,609,818
1835,497,738
1923,548,775
1851,506,745
1880,523,757
1860,511,749
1898,534,764
1822,489,733
1838,498,740
1896,532,764
1844,502,742
2038,616,822
1815,485,730
1973,577,796
1865,514,751
1933,553,780
1937,556,781
1866,515,751
1846,504,742
1856,510,746
1851,506,745
1936,556,780
1892,530,762
1839,499,740
1856,509,747
1815,485,730
1868,516,752
1972,576,796
1842,501,741
1858,510,748
1944,561,783
1844,502,742
1906,538,768
1878,522,756
1829,493,736
1968,573,795
1884,526,758
1921,547,774
1860,511,749
1918,545,773
1976,579,797
1903,536,767
1816,486,730
2002,594,808
1877,521,756
1836,498,738
1863,513,750
1834,498,736
1950,564,786
1888,527,761
1873,519,754
1931,552,779
1826,492,734
1825,491,734
1884,526,758
1914,543,771
1894,531,763
1890,529,761
1815,485,730
1828,493,735
1796,474,722
1818,487,731
1877,522,755
1887,527,760
1824,490,734
1795,473,722
1887,527,760
1791,471,720
1781,466,715
1920,547,773
1916,545,771
1839,500,739
1866,515,751
1892,531,761
1835,496,739
1954,566,788
1831,494,737
1895,532,763
1896,533,763
1869,516,753
1959,569,790
1841,501,740
1944,560,784
1865,515,750
1894,531,763
1905,538,767
1916,544,772
1855,509,746
1838,500,738
1834,496,738
1823,490,733
1819,488,731
1847,504,743
1897,533,764
1936,556,780
1906,538,768
1878,523,755
1830,494,736
1958,569,789
1915,544,771
1907,538,769
1957,568,789
1889,529,760
1840,500,740
1894,531,763
1884,526,758
1892,530,762
1895,531,764
1887,527,760
1956,567,789
1822,489,733
1832,495,737
1902,536,766
1817,486,731
1876,522,754
1835,497,738
1935,555,780
1911,540,771
1937,556,781
2001,594,807
1894,531,763
1888,527,761
1924,549,775
1903,536,767
1877,520,757
1948,563,785
1796,474,722
1919,545,774
1853,507,746
1842,501,741
1897,532,765
1857,510,747
1926,550,776
1861,513,748
1938,556,782
1933,554,779
1873,518,755
1924,549,775
1826,492,734
1816,486,730
1877,521,756
2036,614,822
1870,517,753
1908,539,769
1835,496,739
1886,526,760
1927,550,777
1867,515,752
1883,525,758
1904,537,767
1773,461,712
1774,462,712
1950,564,786
1842,501,741
1953,566,787
1815,485,730
1844,502,742
1799,475,724
1846,503,743
1912,542,770
1900,535,765
1873,519,754
1773,461,712
1856,509,747
1860,511,749
1818,487,731
1867,515,752
1933,554,779
2003,595,808
1877,522,755
1824,490,734
1900,535,765
2006,596,810
1880,524,756
1976,579,797
1898,533,765
1836,497,739
1843,501,742
1832,495,737
1889,528,761
1884,525,759
1852,507,745
1866,514,752
1877,521,756
1946,561,785
1816,486,730
1824,490,734
1909,540,769
1814,484,730
1796,474,722
1893,531,762
1886,526,760
1807,481,726
1890,528,762
1982,583,799
1859,511,748
1864,514,750
1873,519,754
1833,495,738
1874,520,754
1904,537,767
1892,530,762
1865,515,750
1814,485,729
1855,508,747
1868,516,752
1934,555,779
1908,539,769
1880,523,757
1877,522,755
1869,517,752
1962,572,790
1888,527,761
1843,501,742
1834,496,738
1870,518,752
1826,491,735
1926,550,776
1864,513,751
1808,481,727
1836,497,739
1794,472,722
1951,564,787
1867,515,752
1880,523,757
1851,505,746
1884,525,759
1892,530,762
2002,595,807
1937,556,781
1973,577,796
1835,497,738
1852,508,744
1907,540,767
1903,536,767
1904,537,767
1865,515,750
1864,514,750
1830,494,736
1878,522,756
1893,531,762
1891,530,761
1925,550,775
1952,565,787
1889,528,761
1881,524,757
1980,581,799
1861,512,749
1939,558,781
1887,527,760
1796,474,722
1851,506,745
1870,517,753
1866,515,751
1908,540,768
1980,581,799
1927,550,777
1821,489,732
1874,520,754
1806,480,726
1825,491,734
1888,527,761
1925,549,776
1873,519,754
1911,541,770
1874,519,755
1837,498,739
1842,501,741
1796,474,722
1856,509,747
1886,527,759
1951,564,787
1896,532,764
1853,507,746
1898,534,764
1910,540,770
1881,523,758
1826,492,734
1863,513,750
1914,542,772
1823,490,733
1910,540,770
1857,510,747
1909,540,769
1936,555,781
1974,578,796
1959,569,790
1902,536,766
1848,505,743
1838,499,739
1862,512,750
1828,493,735
1924,548,776
1809,482,727
1863,513,750
1786,468,718
1876,521,755
1780,464,716
1890,529,761
1817,486,731
1831,494,737
1965,574,791
1935,554,781
1840,500,740
1853,507,746
