2124,564,860
2501,684,1017
2556,717,1039
2448,653,995
2519,695,1024
2577,729,1048
2537,705,1032
2469,665,1004
2493,679,1014
2519,695,1024
2435,646,989
2522,697,1025
2614,750,1064
2420,637,983
2486,675,1011
2551,713,1038
2515,692,1023
2466,663,1003
2512,690,1022
2455,658,997
2565,722,1043
2504,687,1017
2536,704,1032
2511,690,1021
2500,683,1017
2498,682,1016
2503,686,1017
2428,642,986
2515,693,1022
2459,659,1000
2466,665,1001
2477,671,1006
2512,691,1021
2461,661,1000
2480,671,1009
2601,742,1059
2563,720,1043
2514,692,1022
2610,748,1062
2472,668,1004
2474,669,1005
2643,767,1076
2553,714,1039
2551,713,1038
2562,720,1042
2449,653,996
2476,670,1006
2566,721,1045
2503,686,1017
2428,641,987
2535,704,1031
2469,665,1004
2476,670,1006
2556,715,1041
2461,661,1000
2503,686,1017
2646,768,1078
2470,666,1004
2425,641,984
2610,748,1062
2492,679,1013
2501,684,1017
2466,664,1002
2477,671,1006
2556,717,1039
2591,737,1054
2574,727,1047
2529,700,1029
2581,730,1051
2568,723,1045
2554,715,1039
2535,704,1031
2394,622,972
2624,757,1067
2418,636,982
2456,658,998
2441,649,992
2527,699,1028
2502,686,1016
2541,708,1033
2570,725,1045
2452,656,996
2468,665,1003
2510,689,1021
2480,671,1009
2463,661,1002
2504,685,1019
2562,720,1042
2474,669,1005
2506,687,1019
2448,653,995
2573,727,1046
2543,709,1034
2424,639,985
2638,765,1073
2514,692,1022
2524,698,1026
2479,671,1008
2602,743,1059
2505,687,1018
2578,731,1047
2534,704,1030
2504,686,1018
2585,733,1052
2581,731,1050
2430,643,987
2486,675,1011
2472,667,1005
2529,701,1028
2637,764,1073
2547,711,1036
2561,719,1042
2503,685,1018
2603,743,1060
2481,672,1009
2580,730,1050
2436,647,989
2540,707,1033
2538,706,1032
2535,704,1031
2522,697,1025
2590,736,1054
2546,711,1035
2596,740,1056
2503,686,1017
2500,684,1016
2443,651,992
2548,712,1036
2506,689,1017
2477,670,1007
2491,678,1013
2530,701,1029
2486,676,1010
2531,702,1029
2556,717,1039
2442,650,992
2575,727,1048
2641,765,1076
2482,674,1008
2442,650,992
2519,695,1024
2636,763,1073
2656,775,1081
2479,671,1008
2531,702,1029
2504,687,1017
2500,685,1015
2499,684,1015
2523,697,1026
2504,686,1018
2532,702,1030
2422,638,984
2564,721,1043
2539,706,1033
2526,699,1027
2526,699,1027
2548,712,1036
2517,694,1023
2583,732,1051
2575,728,1047
2578,729,1049
2411,632,979
2513,692,1021
2585,733,1052
2610,748,1062
2561,719,1042
2561,719,1042
2485,675,1010
2571,725,1046
2542,709,1033
2649,771,1078
2612,750,1062
2541,708,1033
2513,691,1022
2516,693,1023
2532,703,1029
2452,656,996
2607,746,1061
2533,703,1030
2476,670,1006
2639,765,1074
2610,748,1062
2468,665,1003
2637,764,1073
2587,735,1052
2561,719,1042
2424,639,985
2498,682,1016
2577,729,1048
2463,662,1001
2444,651,993
2524,698,1026
2560,719,1041
2497,682,1015
2518,694,1024
2586,733,1053
2452,656,996
2428,642,986
2504,686,1018
2522,696,1026
2526,698,1028
2539,706,1033
2530,702,1028
2502,685,1017
2614,751,1063
2416,634,982
2455,658,997
2501,685,1016
2587,734,1053
2620,754,1066
2403,627,976
2619,753,1066
2346,594,952
2583,732,1051
2521,696,1025
2581,730,1051
2500,683,1017
2569,724,1045
2468,665,1003
2606,745,1061
2556,717,1039
2494,680,1014
2535,704,1031
2508,688,1020
2600,742,1058
2528,701,1027
2638,764,1074
2421,638,983
2522,697,1025
2426,641,985
2570,725,1045
2388,618,970
2465,664,1001
2475,670,1005
2505,686,1019
2500,684,1016
2475,669,1006
2539,707,1032
2575,728,1047
2537,705,1032
2470,666,1004
2447,653,994
2563,720,1043
2487,676,1011
2431,644,987
2473,668,1005
2582,732,1050
2481,673,1008
2462,662,1000
2450,654,996
2551,713,1038
2559,718,1041
2650,771,1079
2505,686,1019
2552,715,1037
2500,683,1017
2477,670,1007
2471,667,1004
2520,696,1024
2531,702,1029
2495,681,1014
2608,747,1061
2524,697,1027
2442,650,992
2530,701,1029
2464,663,1001
2512,691,1021
2565,721,1044
2497,682,1015
2566,722,1044
2588,735,1053
2524,699,1025
2509,689,1020
2504,686,1018
2609,748,1061
2544,709,1035
2513,691,1022
2634,762,1072
2524,697,1027
2484,674,1010
2535,704,1031
2607,746,1061
2510,690,1020
2478,671,1007
2509,689,1020
2486,676,1010
2492,679,1013
2571,725,1046
2534,703,1031
2543,709,1034
2561,719,1042
2579,730,1049
2532,702,1030
2561,720,1041
2605,745,1060
2619,753,1066
2426,641,985
2524,698,1026
2445,652,993
2594,739,1055
2626,758,1068
2439,648,991
2461,661,1000
2469,666,1003
2527,700,1027
2542,708,1034
2558,717,1041
2450,655,995
2582,731,1051
2499,683,1016
2458,659,999
2601,742,1059
2507,688,1019
2578,729,1049
2577,728,1049
2475,669,1006
2523,696,1027
2467,665,1002
2470,666,1004
2556,715,1041
2481,674,1007
2584,733,1051
2554,715,1039
2353,598,955
2489,677,1012
2517,693,1024
2539,706,1033
2527,699,1028
2557,717,1040
2451,655,996
2516,693,1023
2598,741,1057
2442,649,993
2505,686,1019
2448,654,994
2568,723,1045
2522,697,1025
2501,684,1017
2587,735,1052
2522,697,1025
2494,680,1014
2351,597,954
2516,693,1023
2418,635,983
2502,685,1017
2486,676,1010
2556,716,1040
2480,673,1007
2549,711,1038
2566,722,1044
2551,714,1037
2488,677,1011
2572,725,1047
2456,658,998
2499,684,1015
2578,730,1048
2539,707,1032
2500,684,1016
2559,718,1041
2394,622,972
2575,728,1047
2576,728,1048
2469,666,1003
